Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
T14,14,785.5287789934317,0.5005412000753112,3659,1831.480251075564
T14,14,787.534005570419,0.49935602978352317,3641,1818.1553044418079
T14,14,789.544055063102,0.5006958280018731,3628,1816.5244639907955
T14,14,791.5493223414812,0.4980007599219349,3622,1803.7587524372482
T14,14,793.5496736434726,0.49799454981622826,3608,1796.7643357369516
T14,14,795.5570452799426,0.49884952200839777,3597,1794.3617306642068
T14,14,797.5629266137221,0.4970589362437366,3576,1777.4827560076021
T14,14,799.5840676265276,0.4941944651940176,3567,1762.791657347061
T14,14,801.5882939395615,0.49456632542785056,3554,1757.688720570581
T14,14,803.5904575494807,0.4939724573708423,3547,1752.1203062943775
T14,14,805.6302997960695,0.4938153182447504,3543,1749.5876725411506
T14,14,807.6468805900537,0.4971010594255828,3530,1754.7667397723073
T14,14,809.7034216149999,0.4966423812648787,3516,1746.1946125273134
T14,14,811.7153261782572,0.49532283907835056,3505,1736.1065509696186
T14,14,813.7326754228319,0.49389179923905413,3482,1719.7312449503866
T14,14,815.7891317077547,0.49264656540753293,3467,1708.0056422679168
T14,14,817.7933987006169,0.49489319966743933,3464,1714.31004364801
T14,14,819.8236767698977,0.4945076366269228,3461,1711.4909303657798
T14,14,821.8335273153373,0.495997707887314,3448,1710.2000967954586
T14,14,823.836094159005,0.49415444997834074,3443,1701.373771275427
T14,14,825.8522526023282,0.49444669455538853,3436,1698.918842492315
T14,14,827.8717900013577,0.49283470462251583,3433,1691.901540969097
T14,14,829.8795077060288,0.49299645482757876,3426,1689.0058542392849
T14,14,831.9160297155905,0.49084044973478114,3419,1678.1834976432167
T14,14,833.9190989834312,0.4918702325516337,3405,1674.8181418383128
T14,14,835.9233625105339,0.4923235857965096,3403,1675.3771624655221
T14,14,837.9593625922978,0.4925007100629546,3399,1674.0099135039827
T14,14,839.999999999998,0.49441031970726357,3387,1674.5677528485016
T15,15,842.0095853641882,0.4944307370345184,3373,1667.7148760174305
T15,15,844.0180282240551,0.49218454498954545,3361,1654.2322557098623
T15,15,846.0238168123869,0.4940757178300118,3344,1652.1892004235594
T15,15,848.0644199720723,0.49251763124338455,3336,1643.0388178279309
T15,15,850.0786592842721,0.49299983049686885,3322,1637.7454369105983
T15,15,852.0971621149002,0.49326743771485243,3315,1635.1815560247358
T15,15,854.0986323746029,0.4933515384413357,3302,1629.0467799332905
T15,15,856.1013347814085,0.49367396461067165,3294,1626.1620394275524
T15,15,858.1643589604802,0.49312375579462503,3275,1614.980300227397
T15,15,860.2649345422226,0.4917136750784313,3261,1603.4782944307644
T15,15,862.3016769556476,0.4912437113689866,3247,1595.0683308150994
T15,15,864.3124710900846,0.4928121902502445,3235,1594.2474354595408
T15,15,866.3412259092979,0.49017625851171576,3218,1577.3871998907014
T15,15,868.3739921631301,0.48942267345509716,3197,1564.6842870359455
T15,15,870.3900295479431,0.4888705136766072,3183,1556.0748450326407
T15,15,872.3935292123108,0.48857159390457494,3172,1549.7490958653118
T15,15,874.4649894355531,0.48751989950652275,3161,1541.0504023401184
T15,15,876.4655659738789,0.48778623442382507,3153,1537.9899971383204
T15,15,878.4809151613396,0.4871582069863947,3135,1527.2409789023475
T15,15,880.5024132561309,0.49005586979992155,3120,1528.9743137757553
T15,15,882.5340000167362,0.49004398130751425,3102,1520.1164300159091
T15,15,884.5397726848353,0.48917283095095937,3091,1512.0332204694155
T15,15,886.5541520018116,0.4898485755705224,3083,1510.2031584839206
T15,15,888.5577975509548,0.4896808576289873,3070,1503.320232920991
T15,15,890.558682055996,0.4899530988577563,3057,1497.786623208161
T15,15,892.5968108165567,0.48926892856064147,3036,1485.4204671101074
T15,15,894.6145253179571,0.4884990785701496,3029,1479.6637089889832
T15,15,896.6197939298422,0.4880477817853403,3019,1473.4162532099424
T15,15,898.6202570567062,0.4853479442679026,3008,1459.9266163578511
T16,16,900.6366635248091,0.48455910412346775,2989,1448.3471622250452
T16,16,902.6519959794443,0.4850675202836464,2976,1443.5609403641317
T16,16,904.6772556032644,0.48452243622337254,2969,1438.5471131471932
T16,16,906.681013321602,0.4845644041614835,2955,1431.8878142971837
T16,16,908.7065867733406,0.48358146037239663,2937,1420.278749113729
T16,16,910.7201561846391,0.4821031984758018,2920,1407.7413395493413
T16,16,912.7261127551003,0.48232796124017024,2903,1400.1980714802141
T16,16,914.7434396000044,0.48142007490811844,2887,1389.8597562597379
T16,16,916.8001275009631,0.48045304661909777,2871,1379.3806968434296
T16,16,918.832977482613,0.4809154056816377,2853,1372.0516524097125
T16,16,920.8370866857979,0.4794958597762698,2844,1363.6862252037113
T16,16,922.9131874042024,0.4830165543573342,2827,1365.4877991681838
T16,16,924.9276135165529,0.4846556220433146,2813,1363.336264807844
T16,16,926.9320461883624,0.48384711583978124,2792,1350.9011474246693
T16,16,928.9558763666764,0.483929800303616,2787,1348.7123534461778
T16,16,930.957483259191,0.4825415802364416,2773,1338.0878019956526
T16,16,932.9626091252412,0.4828395548696667,2760,1332.63717144028
T16,16,934.96917190418,0.4844654569303255,2748,1331.3110756445344
T16,16,937.0251350039774,0.48275309424201845,2732,1318.8814534691944
T16,16,939.0312043458827,0.4837921146107566,2716,1313.979383282815
T16,16,941.049800031306,0.4843452859548976,2705,1310.153998507998
T16,16,943.0958796572118,0.48321031718839447,2699,1304.1846460914767
T16,16,945.1046588877523,0.4826221918096279,2688,1297.2884515842798
