Run,Hour,Hour_Number,Simulation_Time,Average_SoC,Active_Drivers,Total_SoC
2,T11,11,617.5419376958356,0.5185383507729215,3934,2039.9298719406731
2,T11,11,619.5580375987835,0.5194868114484744,3946,2049.89495797568
2,T11,11,621.579228985514,0.5190530007137827,3952,2051.297458820869
2,T11,11,623.5820185767809,0.5172607394867393,3963,2049.904310585948
2,T11,11,625.5987569246059,0.5175316827360947,3969,2054.08324877956
2,T11,11,627.6037200075086,0.5177263796908458,3966,2053.3028218538943
2,T11,11,629.6067681457458,0.5181395294950785,3971,2057.5320716249566
2,T11,11,631.6315557102107,0.5172511746061125,3972,2054.521665535479
2,T11,11,633.6994730045611,0.5169282512246584,3976,2055.3067268692416
2,T11,11,635.7146593623484,0.5169180383086307,3981,2057.8507105066587
2,T11,11,637.7464675096519,0.5135992392734624,3979,2043.611373069107
2,T11,11,639.7471687249159,0.5125709190411648,3991,2045.6705378932886
2,T11,11,641.781342873564,0.5129807824532227,3998,2050.897168247984
2,T11,11,643.7985146856469,0.5104451273056038,3996,2039.7387287131928
2,T11,11,645.8001791200738,0.5096951236753945,4000,2038.780494701578
2,T11,11,647.8122963953226,0.5100749297508699,3999,2039.7896440737286
2,T11,11,649.8136609121566,0.5088492302713465,4002,2036.4146195459286
2,T11,11,651.8427681613227,0.5082865145706658,4004,2035.1792043409457
2,T11,11,653.8758609868416,0.5073686520897488,4010,2034.5482948798929
2,T11,11,655.8831417504955,0.5071532469670007,4017,2037.2345930664417
2,T11,11,657.9576398908688,0.5080783628410389,4024,2044.5073320723407
2,T11,11,659.9620388331267,0.5091243029188681,4035,2054.316562277633
2,T12,12,661.9621373173397,0.5103933478944298,4036,2059.9475521019185
2,T12,12,663.9803605461567,0.5086180417161483,4034,2051.7651802829423
2,T12,12,665.9902423149437,0.5087694304101769,4036,2053.393421135474
2,T12,12,667.993433001943,0.5087698703736624,4034,2052.3776570873542
2,T12,12,670.0139950235872,0.507905467966189,4020,2041.7799812240796
2,T12,12,672.0199154097033,0.5048711461198533,4013,2026.047909378971
2,T12,12,674.0203688883543,0.505704613508889,4012,2028.8869093976623
2,T12,12,676.0469907253861,0.5052928318399199,4005,2023.6977915188793
2,T12,12,678.0495346955842,0.5044509103762566,4009,2022.3436996984124
2,T12,12,680.0523258423426,0.5040951484240821,4007,2019.909259735297
2,T12,12,682.0625340060656,0.5061410374113214,4006,2027.600995869754
2,T12,12,684.0784889472612,0.5045477396323504,3998,2017.181863050137
2,T12,12,686.1065702996265,0.5040449167195593,3994,2013.1553973779198
2,T12,12,688.1458863450647,0.5049047743942633,3998,2018.6092880282647
2,T12,12,690.1652808568383,0.5044288974918247,3995,2015.1934454798397
2,T12,12,692.1696881930226,0.502145841915685,4001,2009.0855135046556
2,T12,12,694.17612875543,0.5014277930681478,3997,2004.2068888933866
2,T12,12,696.1782438407704,0.5014356390801863,3997,2004.2382494035048
2,T12,12,698.2233665457766,0.500631514730629,3999,2002.025427407785
2,T12,12,700.2409153648234,0.5013917271313459,3995,2003.0599498897272
2,T12,12,702.2529835664207,0.5006829448677407,3983,1994.220169408211
2,T12,12,704.2646567625522,0.5012665310749512,3977,1993.536994085081
2,T12,12,706.2962044650604,0.5004053631403059,3974,1988.6109131195758
